"E(eV)", "Spec(eV-1.s-1)"
1.28892e+3, 9.31073e-5
1.92985e+3, 6.06579e-5
2.96106e+3, 3.95177e-5
4.65580e+3, 2.46288e-5
8.02384e+3, 1.44686e-5
1.31681e+4, 8.88512e-6
2.17429e+4, 5.21972e-6
3.67906e+4, 3.06642e-6
5.92800e+4, 1.91110e-6
1.16164e+5, 9.54287e-7
2.30436e+5, 4.76513e-7
3.85966e+5, 2.48190e-7
6.20624e+5, 1.46119e-7
9.20738e+5, 8.81979e-8
1.18585e+6, 6.32931e-8
1.45005e+6, 4.81651e-8
1.79627e+6, 3.51774e-8
2.22515e+6, 2.50412e-8
2.75643e+6, 1.72263e-8
3.41456e+6, 1.15502e-8
4.22983e+6, 7.45204e-9
5.18901e+6, 4.50450e-9
6.12264e+6, 2.65386e-9
6.88112e+6, 1.57461e-9
7.43829e+6, 8.65183e-10
7.80920e+6, 5.17782e-10
8.04057e+6, 3.27351e-10
8.13952e+6, 1.92526e-10
8.14863e+6, 1.12942e-10
8.24891e+6, 5.89437e-11
8.25198e+6, 3.24728e-11
8.35976e+6, 1.94796e-11
8.35976e+6, 1.16123e-11
8.44152e+6, 5.73534e-12
8.44152e+6, 3.41898e-12
8.51773e+6, 1.92932e-12
8.52408e+6, 1.00664e-12
8.55496e+6, 5.28880e-13
8.55496e+6, 3.10654e-13
8.55496e+6, 1.85189e-13
8.55496e+6, 1.19303e-13
