"E(eV)", "Spec(eV-1.s-1)"
1.12335e+3, 1.21666e-4
1.39156e+3, 9.57618e-5
1.72381e+3, 7.78290e-5
2.13539e+3, 6.25819e-5
2.64524e+3, 5.00001e-5
3.27682e+3, 4.08110e-5
4.05921e+3, 3.30270e-5
5.02839e+3, 2.65002e-5
6.22898e+3, 2.13086e-5
7.71623e+3, 1.71831e-5
9.55857e+3, 1.38661e-5
1.18408e+4, 1.12294e-5
1.46679e+4, 8.93353e-6
1.81701e+4, 7.29690e-6
2.25084e+4, 5.78026e-6
2.78826e+4, 4.65782e-6
3.45399e+4, 3.75602e-6
4.27867e+4, 3.03963e-6
5.30025e+4, 2.43893e-6
6.56575e+4, 1.92514e-6
8.13341e+4, 1.58708e-6
9.75375e+4, 1.32292e-6
1.25622e+5, 1.04163e-6
1.60747e+5, 7.83236e-7
1.99515e+5, 6.00832e-7
2.46672e+5, 4.60341e-7
3.05568e+5, 3.42741e-7
3.78526e+5, 2.65094e-7
4.68903e+5, 2.09500e-7
5.80859e+5, 1.49276e-7
7.19547e+5, 1.23783e-7
9.53374e+5, 9.08125e-8
1.26535e+6, 6.30766e-8
1.56746e+6, 4.87868e-8
1.94550e+6, 3.56696e-8
2.39364e+6, 2.61979e-8
3.02975e+6, 1.81276e-8
3.76359e+6, 1.25276e-8
4.84727e+6, 7.82758e-9
5.92800e+6, 4.95664e-9
7.47457e+6, 2.68524e-9
9.03665e+6, 1.65388e-9
1.07669e+7, 1.05246e-9
1.24592e+7, 5.92742e-10
1.42779e+7, 3.36456e-10
1.57373e+7, 1.91731e-10
1.67650e+7, 1.12960e-10
1.73460e+7, 6.77351e-11
1.78599e+7, 4.26558e-11
1.82820e+7, 2.23259e-11
1.86413e+7, 9.00800e-12
1.87061e+7, 4.33699e-12
1.88918e+7, 1.96288e-12
1.89338e+7, 1.00664e-12
1.89338e+7, 6.00083e-13
1.89338e+7, 3.57725e-13
1.89338e+7, 2.13248e-13
1.90077e+7, 1.26229e-13
